espece	regime	wingl	taill	culml	bilh	billw	tarsl	midtl	weig
E123	Inv	wingl_moyen	taill_trescourt	culml_long	bilh_court	billw_fin	tarsl_court	midtl_moyen	weig_moyen
E124	Gr	wingl_trescourt	taill_court	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_court	weig_tresleger
E125	Gr_In	wingl_moyen	taill_moyen	culml_trescourt	bilh_long	billw_moyen	tarsl_court	midtl_moyen	weig_moyen
E126	Gr_In	wingl_moyen	taill_moyen	culml_court	bilh_moyen	billw_moyen	tarsl_trescourt	midtl_court	weig_moyen
E127	Gr_In	wingl_court	taill_court	culml_trescourt	bilh_moyen	billw_fin	tarsl_trescourt	midtl_court	weig_leger
E008	Inv_Carn	wingl_moyen	taill_moyen	culml_moyen	bilh_moyen	billw_moyen	tarsl_moyen	midtl_moyen	weig_moyen
E009	Inv_lim	wingl_trescourt	taill_trescourt	culml_court	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E010	Gr_In_Lim	wingl_court	taill_court	culml_court	bilh_court	billw_fin	tarsl_court	midtl_long	weig_leger
E011	Inv_lim	wingl_moyen	taill_court	culml_court	bilh_court	billw_large	tarsl_moyen	midtl_court	weig_leger
E026	Gr_Fruc	wingl_moyen	taill_court	culml_long	bilh_long	billw_large	tarsl_moyen	midtl_moyen	weig_moyen
E027	Gr_Fruc	wingl_moyen	taill_court	culml_trescourt	bilh_long	billw_large	tarsl_trescourt	midtl_court	weig_moyen
E028	Gr_In_Lim	wingl_long	taill_long	culml_long	bilh_long	billw_moyen	tarsl_long	midtl_long	weig_lourd
E030	Gr_Fr_In	wingl_long	taill_long	culml_court	bilh_long	billw_moyen	tarsl_long	midtl_long	weig_lourd
E031	Gr_Fruc	wingl_long	taill_long	culml_long	bilh_moyen	billw_moyen	tarsl_moyen	midtl_long	weig_lourd
E033	Nec	wingl_trescourt	taill_trescourt	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E034	Nec	wingl_trescourt	taill_trescourt	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E035	Nec	wingl_trescourt	taill_trescourt	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E036	Fruc	wingl_long	taill_moyen	culml_long	bilh_long	billw_large	tarsl_moyen	midtl_long	weig_lourd
E038	Gr_Fr_In	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E044	Fruc	wingl_moyen	taill_long	culml_court	bilh_court	billw_moyen	tarsl_court	midtl_court	weig_moyen
E065	Gr_Fr_Fol	wingl_court	taill_court	culml_court	bilh_long	billw_moyen	tarsl_court	midtl_moyen	weig_moyen
E068	Gr_Lim	wingl_long	taill_long	culml_long	bilh_moyen	billw_large	tarsl_long	midtl_long	weig_lourd
E070	Nec_In	wingl_long	taill_moyen	culml_long	bilh_court	billw_moyen	tarsl_trescourt	midtl_trescourt	weig_leger
E071	Nec	wingl_trescourt	taill_trescourt	culml_moyen	bilh_trescourt	billw_tresfin	tarsl_trescourt	midtl_trescourt	weig_tresleger
E073	Inv_lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E084	In_Car	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E088	Fol	wingl_moyen	taill_moyen	culml_moyen	bilh_long	billw_large	tarsl_moyen	midtl_long	weig_moyen
E094	Gr_Fr_In	wingl_moyen	taill_moyen	culml_court	bilh_long	billw_moyen	tarsl_moyen	midtl_moyen	weig_moyen
E096	Inv_lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E099	Gr_Lim	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E104	Gr_Lim	wingl_moyen	taill_trescourt	culml_trescourt	bilh_court	billw_fin	tarsl_moyen	midtl_court	weig_moyen
E106	Inv_Carn	wingl_moyen	taill_long	culml_moyen	bilh_long	billw_large	tarsl_long	midtl_moyen	weig_moyen
E108	Inv_lim	wingl_moyen	taill_long	culml_moyen	bilh_court	billw_moyen	tarsl_long	midtl_moyen	weig_leger
E109	Inv_lim	wingl_moyen	taill_court	culml_moyen	bilh_court	billw_moyen	tarsl_moyen	midtl_court	weig_lourd
E128	Fruc_Carn	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
E129	Fr_Car_Char	wingl_long	taill_long	culml_long	bilh_long	billw_large	tarsl_long	midtl_long	weig_lourd
