rapport	rapport2	rapport3	long	larg	haut	Ordre
2.652	0.137142857	0.363636364	17.5	6.6	2.4	Passeriformes
2.500	0.241176471	0.602941176	17	6.8	4.1	Passeriformes
2.407	0.253521127	0.610169492	14.2	5.9	3.6	Passeriformes
2.491	0.274647887	0.684210526	14.2	5.7	3.9	Passeriformes
2.294	0.58974359	1.352941176	11.7	5.1	6.9	Passeriformes
2.480	0.39516129	0.98	12.4	5	4.9	Passeriformes
2.286	0.3125	0.714285714	11.2	4.9	3.5	Passeriformes
3.103	0.297520661	0.923076923	12.1	3.9	3.6	Passeriformes
2.870	0.636363636	1.826086957	13.2	4.6	8.4	Passeriformes
3.438	0.836363636	2.875	11	3.2	9.2	Passeriformes
1.775	1.112676056	1.975	7.1	4	7.9	Passeriformes
2.167	0.369230769	0.8	13	6	4.8	Passeriformes
4.515	0.218241042	0.985294118	30.7	6.8	6.7	Passeriformes
4.359	0.529411765	2.307692308	17	3.9	9	Passeriformes
1.781	0.461538462	0.821917808	13	7.3	6	Passeriformes
2.099	0.44295302	0.929577465	14.9	7.1	6.6	Passeriformes
1.769	0.72173913	1.276923077	11.5	6.5	8.3	Passeriformes
2.094	0.349358974	0.731543624	31.2	14.9	10.9	Passeriformes
2.318	0.171084337	0.396648045	41.5	17.9	7.1	Passeriformes
