	wingl 	taill 	culml 	bilh 	billw 	tarsl 	midtl	weig
E061	97.1	78.5	20.0	6.9	8.4	23.7	20.9	36.2
E062	129.1	83.5	34.3	8.7	9.1	39.5	32.2	89.6
E096	121.6	96.1	32.6	12.5	10.2	33.0	32.7	104.0
E008	93.5	77.3	17.3	7.2	9.2	23.7	20.4	30.0
E106	101.0	110.0	20.9	8.8	11.4	27.0	24.2	63.2
E090	122.5	126.8	24.8	6.1	9.8	38.0	32.2	77.0
E045	103.5	134.5	39.7	6.9	9.4	36.1	32.9	101.1
E007	85.5	61.8	15.5	4.2	6.8	20.5	20.1	22.0
E105	93.5	72.5	19.0	4.4	7.5	25.2	20.4	25.5
E006	88.2	88.5	16.5	4.3	6.1	23.5	19.0	23.0
E029	152.5	90.5	28.1	9.2	11.9	19.5	25.9	72.4
E020	62.7	54.3	10.0	4.7	5.0	15.3	14.8	11.0
E021	65.0	58.7	11.4	4.2	5.0	16.4	15.0	11.5
E022	66.5	54.0	9.1	4.8	4.5	15.7	13.5	11.0
E049	71.7	61.4	12.9	5.9	6.1	21.5	18.0	16.2
E122	74.5	64.0	13.0	4.6	6.0	19.0	15.0	17.0
E058	59.0	47.5	12.2	3.7	5.1	17.5	14.1	9.0
E088	91.5	79.5	17.7	9.7	11.3	23.6	27.1	40.0
E047	50.2	51.1	12.6	2.5	4.8	17.1	11.3	5.4
E010	68.8	57.3	13.8	3.9	6.1	18.8	19.3	19.5
E044	96.4	101.0	13.6	4.4	9.1	18.0	18.2	23.5
E082	63.9	53.7	16.8	7.6	6.7	24.4	24.5	44.0
E078	113.6	97.4	23.5	8.1	9.4	44.5	45.1	163.0
E079	104.0	81.0	22.9	7.7	9.7	42.4	44.3	139.0
E080	79.7	78.5	21.9	6.1	7.3	34.2	26.6	81.0
E081	77.7	65.0	19.7	5.3	7.5	35.9	28.8	76.0
E083	52.4	34.5	12.4	3.3	4.5	17.8	20.3	15.6
E123	85.5	47.0	30.7	5.1	6.8	18.0	22.6	22.5
E028	132.0	69.0	28.8	8.0	9.1	28.6	28.9	78.0
E111	67.5	52.0	17.5	3.4	6.6	21.5	14.9	11.3
E015	63.5	59.5	14.4	3.2	6.2	19.5	19.1	16.5
E018	68.5	52.7	12.4	2.8	4.5	19.1	15.0	8.0
E019	76.7	53.2	13.3	2.9	5.0	18.4	14.5	10.0
E118	56.5	47.5	12.1	2.7	3.9	19.9	12.0	7.8
E119	63.5	51.0	13.2	2.9	4.6	18.8	12.8	8.2
E120	52.0	40.5	11.0	2.8	3.2	17.5	12.0	5.3
E016	78.2	56.3	14.0	4.2	7.1	19.8	16.9	19.5
E017	72.3	63.5	13.6	3.6	5.7	21.0	17.2	15.0
E112	81.0	72.0	17.0	4.2	6.8	23.6	19.2	21.8
E113	72.0	59.5	14.2	3.3	5.9	19.9	15.8	18.7
E114	60.0	65.5	14.2	3.0	5.7	20.2	15.0	12.5
E115	57.5	55.5	11.7	2.8	5.1	18.5	13.7	10.3
E116	56.0	52.5	12.4	2.9	5.0	18.5	14.8	9.6
E117	53.0	69.0	11.2	2.8	4.9	18.0	14.6	8.8
E046	60.7	86.7	13.2	3.9	5.9	25.5	17.5	13.7
E042	52.0	53.4	16.3	2.9	5.2	17.9	15.6	9.7
E009	46.5	33.0	13.3	2.3	4.3	16.4	14.0	8.5
E043	53.1	48.1	15.4	3.2	5.4	16.2	15.7	10.4
E089	52.3	49.5	15.0	3.2	4.5	17.4	16.6	10.9
E107	72.5	61.5	14.6	3.5	6.7	23.9	17.1	18.0
E108	82.5	69.0	17.1	4.1	8.7	26.3	20.7	20.3
E109	89.0	65.0	17.5	4.0	8.0	22.9	18.8	21.5
E011	81.7	60.0	14.8	4.0	6.9	22.2	17.0	15.0
E012	67.2	48.8	14.6	4.0	6.9	22.4	19.5	14.0
E013	116.0	83.2	21.7	6.0	9.5	33.2	27.3	75.0
E014	152.0	112.0	24.2	8.0	10.1	31.8	30.2	92.2
E091	134.1	110.0	24.7	7.4	10.3	38.7	31.6	96.2
E110	128.0	109.0	25.4	7.2	9.9	32.9	31.0	87.7
E084	137.0	119.2	34.9	8.7	12.9	38.5	33.4	99.2
E086	49.0	51.9	12.0	2.4	3.9	18.3	13.6	6.5
E040	86.9	67.9	16.5	4.1	8.5	13.2	12.3	14.4
E087	80.4	71.0	13.7	3.6	6.7	19.0	16.6	15.4
E041	67.1	57.9	14.3	3.9	7.1	16.6	13.1	10.0
E039	99.5	93.7	22.3	6.9	9.3	21.2	17.1	25.7
E085	112.6	96.0	20.7	4.9	8.7	26.3	21.6	48.4
E059	61.0	50.9	12.8	3.5	7.0	18.0	13.5	11.3
E060	67.6	52.1	13.2	3.6	6.2	17.0	13.2	11.9
E038	162.0	109.5	42.0	8.4	12.4	28.1	33.9	127.8
E073	158.0	118.0	43.6	9.2	10.6	26.9	34.7	163.0
E036	140.7	85.0	32.4	7.9	11.5	22.2	27.2	78.8
E002	89.5	51.5	17.1	4.8	6.9	12.8	15.5	21.0
E003	127.5	84.5	26.4	6.7	9.0	20.4	23.5	58.0
E004	134.0	90.0	29.5	9.0	12.9	19.2	24.1	76.3
E037	105.1	67.0	22.7	6.0	8.0	18.1	19.6	37.2
E072	93.8	60.8	23.8	6.6	9.4	17.3	22.1	27.0
E005	143.9	102.0	38.7	8.3	12.1	25.9	29.0	116.0
E103	163.0	103.0	45.5	10.9	15.4	26.1	35.5	160.4
E068	162.4	94.9	29.2	7.1	13.7	32.3	40.0	294.0
