Sol	Espece	 Ratio_de_hauteur 
contamine	Lolium_perenne	 0.72   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.65   
contamine	Lolium_perenne	 1.08   
contamine	Lolium_perenne	 1.23   
contamine	Lolium_perenne	 1.06   
contamine	Lolium_perenne	 1.52   
contamine	Lolium_perenne	 1.18   
contamine	Lolium_perenne	 1.07   
contamine	Lolium_perenne	 1.85   
contamine	Lolium_perenne	 2.20   
contamine	Lolium_perenne	 1.06   
contamine	Lolium_perenne	 1.93   
contamine	Lolium_perenne	 1.13   
contamine	Lolium_perenne	 1.30   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.68   
contamine	Lolium_perenne	 1.17   
contamine	Lolium_perenne	 1.45   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.50   
contamine	Lolium_perenne	 0.00   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 1.04   
contamine	Lolium_perenne	 1.08   
contamine	Lolium_perenne	 1.50   
contamine	Lolium_perenne	 1.14   
contamine	Lolium_perenne	 1.00   
contamine	Lolium_perenne	 2.45   
contamine	Lolium_perenne	 1.09   
contamine	Lolium_perenne	 1.35   
contamine	Lolium_perenne	 1.48   
contamine	Lolium_perenne	 1.07   
contamine	Lolium_perenne	 1.50   
contamine	Lotus_corniculatus	 1.20   
contamine	Lotus_corniculatus	 1.63   
contamine	Lotus_corniculatus	 1.80   
contamine	Lotus_corniculatus	 1.71   
contamine	Lotus_corniculatus	 1.45   
contamine	Lotus_corniculatus	 2.24   
contamine	Lotus_corniculatus	 2.28   
contamine	Lotus_corniculatus	 2.73   
contamine	Lotus_corniculatus	 1.58   
contamine	Lotus_corniculatus	 1.43   
contamine	Lotus_corniculatus	 2.00   
contamine	Lotus_corniculatus	 1.78   
contamine	Lotus_corniculatus	 1.67   
contamine	Lotus_corniculatus	 1.36   
contamine	Lotus_corniculatus	 1.86   
contamine	Lotus_corniculatus	 2.48   
contamine	Lotus_corniculatus	 1.50   
contamine	Lotus_corniculatus	 0.62   
contamine	Lotus_corniculatus	 2.06   
contamine	Lotus_corniculatus	 1.69   
contamine	Lotus_corniculatus	 1.63   
contamine	Lotus_corniculatus	 1.21   
contamine	Lotus_corniculatus	 2.24   
contamine	Lotus_corniculatus	 2.50   
contamine	Lotus_corniculatus	 1.61   
contamine	Lotus_corniculatus	 1.90   
contamine	Lotus_corniculatus	 0.71   
contamine	Lotus_corniculatus	 1.18   
contamine	Lotus_corniculatus	 1.67   
contamine	Lotus_corniculatus	 3.10   
contamine	Lotus_corniculatus	 1.60   
contamine	Lotus_corniculatus	 1.33   
contamine	Lotus_corniculatus	 1.25   
contamine	Lotus_corniculatus	 1.75   
contamine	Lotus_corniculatus	 2.52   
contamine	Lotus_corniculatus	 2.00   
contamine	Lotus_corniculatus	 1.80   
contamine	Lotus_corniculatus	 1.55   
contamine	Lotus_corniculatus	 2.00   
controle	Agrostis_stolonifera	 1.50   
controle	Agrostis_stolonifera	 2.06   
controle	Agrostis_stolonifera	 2.27   
controle	Agrostis_stolonifera	 1.88   
controle	Agrostis_stolonifera	 2.23   
controle	Agrostis_stolonifera	 2.70   
controle	Agrostis_stolonifera	 1.63   
controle	Agrostis_stolonifera	 5.88   
controle	Agrostis_stolonifera	 2.00   
controle	Agrostis_stolonifera	 1.72   
controle	Agrostis_stolonifera	 2.13   
controle	Agrostis_stolonifera	 1.68   
controle	Agrostis_stolonifera	 0.70   
controle	Agrostis_stolonifera	 2.62   
controle	Agrostis_stolonifera	 3.21   
controle	Agrostis_stolonifera	 2.11   
controle	Agrostis_stolonifera	 1.19   
controle	Agrostis_stolonifera	 1.40   
controle	Agrostis_stolonifera	 1.21   
controle	Agrostis_stolonifera	 1.77   
controle	Agrostis_stolonifera	 2.36   
controle	Agrostis_stolonifera	 1.93   
controle	Agrostis_stolonifera	 2.40   
controle	Agrostis_stolonifera	 1.90   
controle	Agrostis_stolonifera	 1.55   
controle	Agrostis_stolonifera	 1.21   
controle	Agrostis_stolonifera	 1.08   
controle	Agrostis_stolonifera	 2.07   
controle	Agrostis_stolonifera	 2.00   
controle	Agrostis_stolonifera	 1.83   
controle	Agrostis_stolonifera	 1.67   
controle	Agrostis_stolonifera	 3.00   
controle	Agrostis_stolonifera	 2.21   
controle	Agrostis_stolonifera	 1.00   
controle	Agrostis_stolonifera	 2.30   
controle	Agrostis_stolonifera	 2.00   
controle	Agrostis_stolonifera	 3.22   
controle	Agrostis_stolonifera	 2.25   
controle	Agrostis_stolonifera	 1.94   
controle	Centaurea_cyanus	 1.04   
controle	Centaurea_cyanus	 1.14   
controle	Centaurea_cyanus	 1.56   
controle	Centaurea_cyanus	 1.27   
controle	Centaurea_cyanus	 1.00   
controle	Centaurea_cyanus	 1.11   
controle	Centaurea_cyanus	 1.85   
controle	Centaurea_cyanus	 2.04   
controle	Centaurea_cyanus	 1.22   
controle	Centaurea_cyanus	 6.29   
controle	Centaurea_cyanus	 1.17   
controle	Centaurea_cyanus	 1.05   
controle	Centaurea_cyanus	 1.05   
controle	Centaurea_cyanus	 1.61   
controle	Centaurea_cyanus	 1.16   
controle	Centaurea_cyanus	 1.18   
controle	Centaurea_cyanus	 1.81   
controle	Centaurea_cyanus	 0.99   
controle	Centaurea_cyanus	 1.27   
controle	Centaurea_cyanus	 1.54   
controle	Centaurea_cyanus	 1.17   
controle	Centaurea_cyanus	 2.09   
controle	Centaurea_cyanus	 0.93   
controle	Centaurea_cyanus	 1.11   
controle	Centaurea_cyanus	 1.33   
controle	Centaurea_cyanus	 1.00   
controle	Centaurea_cyanus	 1.50   
controle	Centaurea_cyanus	 1.19   
controle	Centaurea_cyanus	 1.06   
controle	Centaurea_cyanus	 1.32   
controle	Centaurea_cyanus	 1.06   
controle	Centaurea_cyanus	 1.22   
controle	Centaurea_cyanus	 1.00   
controle	Centaurea_cyanus	 1.19   
controle	Centaurea_cyanus	 1.00   
controle	Centaurea_cyanus	 1.07   
controle	Centaurea_cyanus	 1.80   
controle	Centaurea_cyanus	 1.50   
controle	Lolium_perenne	 1.28   
controle	Lolium_perenne	 1.11   
controle	Lolium_perenne	 1.23   
controle	Lolium_perenne	 1.83   
controle	Lolium_perenne	 1.63   
controle	Lolium_perenne	 1.33   
controle	Lolium_perenne	 1.33   
controle	Lolium_perenne	 0.84   
controle	Lolium_perenne	 1.69   
controle	Lolium_perenne	 1.48   
controle	Lolium_perenne	 1.31   
controle	Lolium_perenne	 0.98   
controle	Lolium_perenne	 0.88   
controle	Lolium_perenne	 1.21   
controle	Lolium_perenne	 1.35   
controle	Lolium_perenne	 0.84   
controle	Lolium_perenne	 2.40   
controle	Lolium_perenne	 1.49   
controle	Lolium_perenne	 1.36   
controle	Lolium_perenne	 1.13   
controle	Lolium_perenne	 1.57   
controle	Lolium_perenne	 1.04   
controle	Lolium_perenne	 1.71   
controle	Lolium_perenne	 1.24   
controle	Lolium_perenne	 1.12   
controle	Lolium_perenne	 1.02   
controle	Lolium_perenne	 1.83   
controle	Lolium_perenne	 1.56   
controle	Lolium_perenne	 2.98   
controle	Lolium_perenne	 1.43   
controle	Lolium_perenne	 1.27   
controle	Lolium_perenne	 1.21   
controle	Lolium_perenne	 2.38   
controle	Lolium_perenne	 1.00   
controle	Lolium_perenne	 2.15   
controle	Lolium_perenne	 1.26   
controle	Lolium_perenne	 0.35   
controle	Lolium_perenne	 1.23   
controle	Lolium_perenne	 1.25   
controle	Lolium_perenne	 1.06   
controle	Lotus_corniculatus	 1.37   
controle	Lotus_corniculatus	 1.90   
controle	Lotus_corniculatus	 1.78   
controle	Lotus_corniculatus	 2.10   
controle	Lotus_corniculatus	 1.30   
controle	Lotus_corniculatus	 2.00   
controle	Lotus_corniculatus	 1.93   
controle	Lotus_corniculatus	 2.26   
controle	Lotus_corniculatus	 2.33   
controle	Lotus_corniculatus	 2.33   
controle	Lotus_corniculatus	 1.11   
controle	Lotus_corniculatus	 1.57   
controle	Lotus_corniculatus	 2.00   
controle	Lotus_corniculatus	 1.41   
controle	Lotus_corniculatus	 2.00   
controle	Lotus_corniculatus	 1.45   
controle	Lotus_corniculatus	 2.48   
controle	Lotus_corniculatus	 1.80   
controle	Lotus_corniculatus	 1.55   
controle	Lotus_corniculatus	 1.72   
controle	Lotus_corniculatus	 1.33   
controle	Lotus_corniculatus	 3.29   
controle	Lotus_corniculatus	 1.73   
controle	Lotus_corniculatus	 2.00   
controle	Lotus_corniculatus	 1.45   
controle	Lotus_corniculatus	 1.55   
controle	Lotus_corniculatus	 0.95   
controle	Lotus_corniculatus	 1.20   
controle	Lotus_corniculatus	 1.33   
controle	Lotus_corniculatus	 1.42   
controle	Lotus_corniculatus	 1.40   
controle	Lotus_corniculatus	 1.29   
controle	Lotus_corniculatus	 1.50   
controle	Lotus_corniculatus	 1.80   
controle	Lotus_corniculatus	 2.26   
controle	Lotus_corniculatus	 1.56   
controle	Lotus_corniculatus	 1.80   
controle	Lotus_corniculatus	 1.71   
controle	Lotus_corniculatus	 1.56   
